Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Lankaran-Astara economic region,5973.0,6146.0,6770.0,6779.0,9234.0,9449.0,9682.0,9492.0,11064.0,10728.0,11281.0,11493.0,11669.0,10505.0,9648.0,9324.0,9968.0,9240.0,9907.0,9667.0,10038.4,10087.1,10209.2,10130.5
Astara district,857.0,806.0,1119.0,1131.0,1586.0,1649.0,1688.0,1349.0,1300.0,1283.0,1293.0,1309.0,1378.0,1380.0,1381.0,1351.0,1362.0,1254.0,1168.0,1099.0,1034.0,970.8,956.7,929.5
Jalilabad district,2305.0,2408.0,2459.0,2480.0,4051.0,4055.0,4114.0,4155.0,4975.0,4913.0,5032.0,5085.0,5176.0,4962.0,4100.0,3900.0,4653.0,4200.0,5000.0,5000.0,5320.0,5400.0,5450.0,5500.0
Lerik district,1017.0,1196.0,1197.0,1201.0,1249.0,1273.0,1321.0,1091.0,1164.0,1188.0,1218.0,1219.0,1229.0,1265.0,1291.0,1297.0,1463.0,1377.0,1369.0,1422.0,1446.0,1505.0,1537.0,1538.0
Lankaran district,583.0,746.0,798.0,789.0,801.0,807.0,812.0,874.0,981.0,886.0,819.0,820.0,768.0,602.0,574.0,576.0,592.0,579.0,442.0,426.0,466.0,430.0,438.0,448.0
Masalli district,751.0,556.0,694.0,787.0,1014.0,1041.0,1119.0,1370.0,1877.0,1666.0,2118.0,2250.0,2276.0,1477.0,1460.0,1282.0,1044.0,940.0,1060.0,844.0,880.5,893.6,900.0,903.0
Yardimli district,460.0,434.0,503.0,391.0,533.0,624.0,628.0,653.0,767.0,792.0,801.0,810.0,842.0,819.0,842.0,918.0,854.0,890.0,868.0,876.0,891.9,887.7,927.5,812.0
Central Aran economic region,2261.0,1935.0,2542.0,2317.0,2772.0,3028.0,3112.0,3238.0,3238.0,3392.0,3458.0,3693.0,3528.0,3366.0,2729.0,2807.0,2481.0,2313.0,2238.0,1996.0,1923.5,1933.2,1851.4,1772.3
Mingachevir city,,7.0,17.0,5.0,5.0,7.0,6.0,6.0,5.0,7.0,6.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,6.0,6.0,6.2,6.0,5.3,5.0
Agdash district,233.0,247.0,471.0,485.0,494.0,566.0,581.0,652.0,674.0,705.0,1116.0,1183.0,1186.0,1204.0,595.0,670.0,240.0,208.0,222.0,202.0,214.0,215.0,198.6,324.1
